i,j,id,m,pabs,e
0,5,25,125.001,118.716,172.391
0,8,25,125.001,128.905,179.56
0,33,25,125.001,127.89,178.832
0,64,25,125.001,127.677,178.68
0,99,25,125.001,127.833,178.792
0,666,25,125.001,127.784,178.757
0,859,23,88.8442,74.8398,116.165
0,860,23,19.6818,59.4171,62.592
0,863,13,0.10566,26.0915,26.0917
0,864,-13,0.10566,36.5001,36.5003
0,865,-13,0.10566,34.8701,34.8703
0,867,13,0.10566,26.0911,26.0913
0,868,-13,0.10566,34.8648,34.865
0,870,13,0.10566,26.0911,26.0913
0,1532,-11,0.000511,10.8407,10.8407
0,1570,11,0.000511,32.8348,32.8348
0,1571,-11,0.000511,60.7997,60.7997
0,1640,11,0.000511,1.6352,1.6352
0,1641,-11,0.000511,0.815179,0.815179
1,5,25,124.998,146.922,192.901
1,8,25,124.998,217.645,250.986
1,12,25,124.998,217.962,251.26
1,32,25,124.998,214.009,247.839
1,38,25,124.998,214.099,247.917
1,45,25,124.998,215.042,248.731
1,100,25,124.998,214.743,248.473
1,150,25,124.998,214.856,248.571
1,180,25,124.998,214.81,248.531
1,466,25,124.998,214.849,248.565
1,605,23,32.9796,49.8274,59.753
1,606,23,87.9954,167.053,188.812
1,607,11,0.000511,16.4404,16.4404
1,608,-11,0.000511,43.3127,43.3127
1,1422,11,0.000511,0.17659,0.176591
1,1423,-11,0.000511,0.0247291,0.0247343
2,5,25,124.998,197.861,234.038
2,6,23,89.3301,55.1421,104.979
2,9,25,124.998,193.5,230.362
2,10,23,89.3301,45.9109,100.437
2,550,25,124.998,193.99,230.774
2,551,23,89.3301,46.0814,100.515
2,752,23,43.7866,81.6045,92.6097
2,753,23,59.1107,124.881,138.165
2,821,13,0.10566,7.30874,7.3095
2,822,-13,0.10566,130.855,130.855
2,823,-13,0.10566,103.582,103.582
2,825,13,0.10566,7.30872,7.30948
2,826,-13,0.10566,103.581,103.581
2,828,13,0.10566,7.30872,7.30948
2,829,-13,0.10566,103.581,103.581
2,831,13,0.10566,7.30872,7.30948
2,1654,13,0.10566,1.402,1.40598
2,1655,-13,0.10566,0.644588,0.65319
2,1804,11,0.000511,3.59659,3.59659
2,1805,-11,0.000511,14.756,14.756
2,1954,13,0.10566,2.70079,2.70285
2,1965,13,0.10566,1.41089,1.41484
2,1994,-13,0.10566,1.26169,1.26611
3,5,25,125.002,71.4936,144.003
3,8,25,125.002,103.091,162.029
3,12,25,125.002,98.3523,159.055
3,27,25,125.002,98.3932,159.081
3,124,25,125.002,97.3697,158.449
3,530,25,125.002,98.435,159.106
3,694,23,78.7469,94.1186,122.717
3,695,23,34.2472,12.3018,36.3896
3,710,11,0.000511,15.9086,15.9086
3,711,-11,0.000511,20.481,20.481
3,1394,-11,0.000511,59.1898,59.1898
3,1581,-11,0.000511,16.0988,16.0988
3,1616,11,0.000511,4.14114,4.14114
3,1617,-11,0.000511,5.88542,5.88542
4,5,25,125.004,1616.5,1621.32
4,8,25,125.004,1593.16,1598.06
4,12,25,125.004,1632.62,1637.4
4,17,25,125.004,1649.77,1654.5
4,23,25,125.004,1651.16,1655.89
4,173,25,125.004,1651.19,1655.91
4,552,25,125.004,1650.94,1655.67
4,735,23,28.4929,415.534,416.51
4,736,23,92.8562,1235.67,1239.16
4,737,11,0.000511,228.262,228.262
4,738,-11,0.000511,188.248,188.248
4,739,-11,0.000511,182.124,182.124
4,741,11,0.000511,228.262,228.262
4,742,-11,0.000511,182.109,182.109
4,744,11,0.000511,228.262,228.262
4,1732,-11,0.000511,1.98074,1.98074
5,5,25,124.998,10.5733,125.444
5,8,25,124.998,742.23,752.681
5,12,25,124.998,778.314,788.287
5,24,25,124.998,778.27,788.244
5,238,25,124.998,778.114,788.09
5,462,25,124.998,777.993,787.97
5,615,23,90.2709,521.167,528.927
5,616,23,32.3407,257.016,259.043
5,617,15,1.77682,82.6557,82.6748
5,618,-15,1.77682,446.249,446.252
5,1132,-11,0.000511,203.643,203.643
5,1135,11,0.000511,2.35938,2.35938
6,5,25,125,306.814,331.3
6,8,25,125,367.671,388.339
6,27,25,125,368.849,389.454
6,32,25,125,369.74,390.298
6,38,25,125,369.702,390.263
6,51,25,125,370.518,391.035
6,152,25,125,370.438,390.96
6,198,25,125,370.439,390.96
6,215,25,125,370.456,390.977
6,269,23,91.6945,296.484,310.34
6,270,23,16.9192,78.8416,80.6366
6,273,15,1.77682,34.7779,34.8233
6,274,-15,1.77682,45.7789,45.8133
6,275,-15,1.77682,37.3251,37.3674
6,277,15,1.77682,34.1356,34.1818
6,652,13,0.10566,1.55367,1.55726
7,5,25,124.999,1172.91,1179.55
