i,j,id,m,px,py,pz
0,863,13,0.10566,2.57693,-1.00453,25.9445
0,864,-13,0.10566,-15.8752,10.2819,31.2173
0,865,-13,0.10566,-15.1539,9.82898,29.8275
0,867,13,0.10566,2.57689,-1.00452,25.9441
0,868,-13,0.10566,-15.1515,9.82743,29.823
0,870,13,0.10566,2.57689,-1.00452,25.9441
0,1532,-11,0.000511,0.701318,-0.219229,10.8157
0,1570,11,0.000511,-0.0395603,-0.209842,-32.8341
0,1571,-11,0.000511,-0.0703663,-0.391335,-60.7984
0,1640,11,0.000511,-0.0113752,-0.561384,1.53577
0,1641,-11,0.000511,-0.00456262,-0.274731,0.767476
1,607,11,0.000511,4.93819,-12.713,-9.18046
1,608,-11,0.000511,-7.49458,13.1581,-40.5793
1,1422,11,0.000511,0.0240548,-0.0443116,0.169239
1,1423,-11,0.000511,0.00610735,-0.00335722,0.0237267
2,821,13,0.10566,-4.95921,-3.93974,-3.64723
2,822,-13,0.10566,38.3631,43.924,117.141
2,823,-13,0.10566,30.3934,34.7629,92.7204
2,825,13,0.10566,-4.9592,-3.93973,-3.64722
2,826,-13,0.10566,30.3931,34.7626,92.7195
2,828,13,0.10566,-4.9592,-3.93973,-3.64722
2,829,-13,0.10566,30.3931,34.7626,92.7195
2,831,13,0.10566,-4.9592,-3.93973,-3.64722
2,1654,13,0.10566,-0.151188,0.130374,1.38772
2,1655,-13,0.10566,-0.26736,-0.0547367,0.583966
2,1804,11,0.000511,0.0284089,-0.016596,-3.59644
2,1805,-11,0.000511,0.124259,-0.0313213,-14.7554
2,1954,13,0.10566,0.0833212,0.649291,2.62025
2,1965,13,0.10566,0.125979,-0.802653,-1.15346
2,1994,-13,0.10566,0.913872,-0.849564,-0.186938
3,710,11,0.000511,-8.13429,-7.55934,11.3918
3,711,-11,0.000511,0.406884,3.68193,-20.1432
3,1394,-11,0.000511,0.0194485,-0.107266,-59.1897
3,1581,-11,0.000511,-11.6776,11.0789,0.253053
3,1616,11,0.000511,-0.268839,-0.296474,4.12175
3,1617,-11,0.000511,-0.382223,-0.420664,5.85791
4,737,11,0.000511,1.94956,-26.2049,226.744
4,738,-11,0.000511,13.9319,1.12889,187.729
4,739,-11,0.000511,13.4786,1.09214,181.621
4,741,11,0.000511,1.94956,-26.2049,226.744
4,742,-11,0.000511,13.4775,1.09205,181.606
4,744,11,0.000511,1.94956,-26.2049,226.744
4,1732,-11,0.000511,0.544113,0.791818,1.73213
5,617,15,1.77682,-0.837848,13.2093,81.5891
5,618,-15,1.77682,-157.37,-68.98,411.843
5,1132,-11,0.000511,-71.3933,-31.409,188.114
5,1135,11,0.000511,0.0849708,0.548059,2.29327
6,273,15,1.77682,4.77792,18.9858,28.7439
6,274,-15,1.77682,10.5151,7.52537,43.9147
6,275,-15,1.77682,8.7701,5.53768,35.855
